user_input,columns
memory,"error,name,type,library.name,span.kind,http.target,duration_ms,service.name,http.url,library.version,http.host,telemetry.sdk.language,span.num_events,http.method,span.num_links,trace.trace_id,http.scheme,status_code,trace.span_id,telemetry.instrumentation_library,tornado.handler,telemetry.sdk.name,meta.signal_type,net.peer.ip,telemetry.sdk.version,http.status_code,http.client_ip,honeycomb.distro.version,honeycomb.distro.runtime_version,http.route,trace.parent_id"
slow requests,"duration_ms,slot,service.version,name,host.name,service.name,type,span.kind,status_code,blockHash,library.name,span.num_links,parentHash,trace.trace_id,trace.span_id,meta.signal_type,span.num_events,telemetry.sdk.language,BuilderPubkey,telemetry.sdk.version,proposerFeeRecipient,telemetry.sdk.name,honeycomb.distro.version,honeycomb.distro.runtime_version,http.route,trace.parent_id,service_name"
there query above should remove query params from urls,"url_no_query,query_string,query_params,request.query.clear-cache,request.query.saySomething,Query Parameter added:,eligibilityCheck.queryParams.requestUrl,request_query,request.path.url,Query Method,xs1.queries,request.url,AS_QUERY,http.url,eligibilityCheck.queryParams.all,request_uri,Query Parameter name:,request.query.action,request.query.method,zc2_query_params_provided,http.request.params.query.field,rgh.queryParam.noNav,meta.splunk_query_url,request.query.type,request.query.surrogates,NATURAL_QUERY,pub.url,http.request.params.query.start,Path Parameter added:,rgh.queryParam.forceFallback,sre.request.uri.quotes,http.request.params.query.datadate,sre.http.url.quotes,request.query.goalId,meta.base_request_url,request.query.includeRecommendations,request.query.washsale,request.query.X-Client-ID,dtg.queries,request.query.davidson,http.request.params.query.securityid,request.path.a,location.href,request.query.filter,sre.cx.misc.services.urls,sre.retail_site_misc.services.urls,request.query.historical,http.method,request.query.eventDate,meta.request_url,trace.trace_id,service.userlocation,service.name,exception.type,duration_ms,trace.parent_id,status,namespace,message,exception.message,parent_name,http.route,name,kind,reason,InternalorExternal,http.target,correlationCallChain,web_path,http.status_code,db.statement,service.appprefix"
exclude outlier,"eve.ingress,ack,eve.external_origin,error,eve.occurred,eve.target_group,exception.type,eve.users,db.user,exception.stacktrace,eve.id,peer.service,requeue,exception.message,eve.machonet.group,name,eve.cache.ignore,eve.internal_origin,eve.publisher,peer.address,eve.pirate.activity.suppression.old,eve.pirate.activity.suppression,enduser.id,eve.tracing.has_removed_parents,eve.tenant,emq.option.queue.exclusive,connection_id,eve.time_dilation,eve.primitive,eve.dispatched,host.name,eve.issued,db.system,eve.forwarded_for,eve.activity.adjustment,eve.app,aws.dynamodb.select,db.name,db.operation,aws.dynamodb.projection,net.transport,eve.assetholding.entitlement_id.group_by,parent_name,eve.structure.ids,aws.operation,eve.pirate.insurgency.state,emq.nats.sub.dropped,eve.user.id,eve.domain,eve.pirate.activity.thresholds,duration_ms,eve.boot_role,service.name,db.statement,payload.type_url,http.status_code,rpc.method,trace.parent_id"
trace id b2ac02bc90045684b82e89978735f665,"trace.trace_id,trace.parent_id,trace.span_id,guid:x-request-id,host.id,cloud.account.id,node_id,name,zone,response_flags,peer.address,meta.refinery.reason,service.name,span.kind,component,user_agent,response_size,duration_ms,http.url,type,status_code,istio.mesh_id,upstream_cluster,is_aj,cloud.platform,dc_ensure_nonroot_server_span,downstream_cluster,request_size,cloud.provider,istio.canonical_revision,dc_db_system_or_type,dc_log10_duration,span.num_events,cloud.region,dc_protocols,http.method,isSCIM,upstream_cluster.name,http.protocol,meta.signal_type,span.num_links,istio.namespace,meta.refinery.original_sample_rate,istio.canonical_service,http.status_code,k8s.cluster.name,is_seattle_aj,dc_bad_status_code_as_a_numeric,dc_error_as_a_numeric,http.route"
http.route contains graphql,"http.route,graphql.path,graphql.source,graphql.field.path,graphql.field.type,graphql.field.name,graphql.operation.name,graphql.operation.type,http.method,http.url,graphql.field_name,rpc.method,express.type,graphql.max_query_complexity,graphql.complexity,http.host,http.scheme,rpc.service,nestjs.type,graphql.requested_query_complexity,nestjs.controller,express.name,http.target,net.transport,http.response.body.error,plaid.webhook_code,nestjs.callback,vesta.webhook.path,nestjs.version,exception.stacktrace,auth.scopes,rpc.system,nestjs.module,service.name,exception.type,exception.stack,net.host.port,tls.authorized,session.type,plaid.webhook_type,db.name,trace.link.trace_id,span.kind,customer.logo_uri,net.host.ip,http.response_content_length,sendgrid.to_email,http.status_code,tls.protocol,http.flavor,error,duration_ms,trace.parent_id,exception.message,parent_name,name"
service with highest usage,"host,message,url.full,fly.app.instance,log.level,event.provider,error.message,fly.region,http.response.status_code,http.request.version,fly.app.name,fly.instance.id,http.request.id,isError,http.request.method,duration_ms,http.route,name,trace.parent_id"
Show me a summary of requests in the past week for the route /api/1/find_shared_conditions,"http.route,http.method,http.url,rpc.method,aws.request_id,aws.queue_url,timeStarted,service.availability_zone,meta.refinery.reason,timeCreated,meta.refinery.send_reason,span.num_events,meta.refinery.sample_key,http.status_code,path,http.user_agent,status_code,job_id,status_message,SampleRate,span.num_links,trace.trace_id,duration_ms,rpc.service,http.host,dc_simple_refinery_reason,num_child_jobs,service.commit_sha,exception.stacktrace,meta.signal_type,service.build_number,trace.parent_id,dc.det_service,service.name,jinja2.template_path,service.task_arn,service.cluster,trace.span_id,meta.refinery.original_sample_rate,db.name,service.container_name,http.server_name,db.user,jinja2.template_name,parent_name,span.kind,meta.annotation_type,dc.log10_duration_ms,rpc.system,db.system,error,exception.message,name,db.statement"
show count of all spans in the past 2 hours where the service name is position-instruction-goal-manager-lambda and the attribute JWT_Status_Code is 200 with a granularity of 5,"apollo_router_http_request_duration_seconds.count,GUR-report-builder-webservice-availability-latency,apollo_router_http_request_duration_seconds.p25,XS1_Holdings_SRE_Availability_including_latency,http.client.duration.p05,graphql.request.datafetch.count.p05,AGGR_Replication_Lambda_Latency_SLI,http.client.duration.sum,apollo_router_http_request_duration_seconds.p05,XS1_Activity_SRE_Availability_including_latency,ATJ Scheduled Transactions Latency 5000,apollo_router_http_request_duration_seconds.p50,WOW-internal-service-call-latency,http.client.duration.count,XS1_Balances_SRE_Availability_including_latency,http.server.duration.p05,service.duration_threshold_ms,apollo_router_http_request_duration_seconds.sum,Grafana.TraceStatus,http.server.duration.count,graphql.request.datafetch.count.p25,WOW-external-service-call-latency,KTS_MANAGED_ACCOUNTS_LIST_LAMBDA_LATENCY_SLI,DGI_Replication_Lambda_Latency_SLO_SAT,JEM_TEST_External_Service_Latency_SLI,http.server.duration.sum,JEM_TEST_Internal_Service_Latency_SLI,executor.execution.count,kafka.consumer.coordinator.rebalance.latency.total,NSJ.AggregatorLambdaStatus,apollo_router_http_request_duration_seconds.p01,apollo_router_http_request_duration_seconds.avg,CA7 DELETE LATENCY 10000,RGD_Replication_Lambda_Latency_SLI,ST4_Service_Latency_SLI,process.runtime.jvm.gc.duration.count,http.client.duration.p75,span_ingestion_delta_in_secs,ScopesOrGroupAllowedFilter.scopeFilter.timeElapsed,graphql.request.count,custom.latency.sqs_latency,JEM_PRF_External_Service_Latency_SLI,graphql.request.datafetch.count.p001,log_duration_ms,FAS_DAX_Service_Latency,KTS_CLIENT_STATUS_LAMBDA_LATENCY_SLI,http.server.duration.avg,WRI_Case_Summary_Latency,apollo_router_http_request_duration_seconds.p10,apollo_router_http_request_duration_seconds.p75,JWT_Status_Code,service.name,exception.message,correlationCallChain,name,web_path,status,exception.type,duration_ms,trace.parent_id,http.status_code,db.statement,http.target,parent_name,http.route,InternalorExternal,service.appprefix"
INTERNAL_SERVER_ERROR,"status_code,http.status_code,service.name,http.url,http.route,express.type,http.host,http.method,duration_ms,name,process.command,net.host.ip,process.pid,http.status_text,net.transport,net.host.name,parent_name,http.target,library.version,net.host.port,express.name,process.command_line,log.metadata,process.runtime.description,http.scheme,http.flavor,process.runtime.version,http.user_agent,log.level,type,library.name,log.message,process.runtime.name,trace.trace_id,trace.span_id,process.executable.name,net.peer.port,net.peer.ip,trace.parent_id,log.timestamp,meta.annotation_type,span.kind,telemetry.instrumentation_library,telemetry.sdk.language,telemetry.sdk.version,telemetry.sdk.name,meta.signal_type,span.num_events,span.num_links"
average http duration,"http.client.duration.avg,http.server.duration.avg,http.client.duration.max,http.client.duration.min,duration_ms,http.client.duration.p90,http.server.duration.max,http.client.duration.p001,http.client.duration.sum,http.client.duration.count,http.client.duration.p95,http.server.duration.min,http.client.duration.p01,http.client.duration.p05,http.server.duration.p05,http.client.duration.p99,http.client.duration.p75,http.server.duration.p01,http.server.duration.p95,http.client.duration.p999,http.client.duration.p50,http.server.duration.sum,http.server.duration.count,http.server.duration.p001,http.client.duration.p10,http.server.duration.p75,http.client.duration.p25,http.server.duration.p99,http.server.duration.p10,http.server.duration.p90,http.server.duration.p999,http.server.duration.p50,http.server.duration.p25,metrics.uptime,metrics.network.bytes.receive,metrics.cpu.usage,metrics.network.bytes.send,metrics.memory.usage,metrics.memory.major_page_faults,TImestamp,metrics.filesystem.usage,metrics.source,metrics.memory.rss,metrics.memory.utilization,http.url,metrics.memory.page_faults,metrics.network.errors.send,metrics.cpu.utilization,bubblegroup.workload.tags.http.route,metrics.network.errors.receive,exception.message,parent_name,db.statement,service_name,error,http.route,trace.parent_id,http.status_code,name"
Find POST requests to /v4/trackers,"http.method,http.url,http.route,user_agent.original,http.request_content_length,http.target,trace.trace_id,telemetry.instrumentation_library,http.user_agent,thread.id,http.host,http.status_code,net.transport,exception.stacktrace,trace.parent_id,http.response_content_length,trace.span_id,telemetry.sdk.version,process.pid,telemetry.auto.version,meta.signal_type,telemetry.sdk.name,messaging.client_id,telemetry.sdk.language,meta.annotation_type,messaging.conversation_id,process.command_line,messaging.destination,status_code,cluster,messaging.operation,messaging.system,net.host.port,net.sock.host.port,os.type,error,thread.name,http.flavor,name,net.peer.port,db.operation,host.arch,messaging.kafka.consumer.group,service.name,db.mongodb.collection,parent_name,net.peer.ip,span.num_events,messaging.rabbitmq.destination.routing_key,messaging.temp_destination,service_name,exception.message,duration_ms,db.statement"
show me trace id 566a7482c40df2a9c63886345309540a,"trace.trace_id,trace.span_id,trace.parent_id,guid:x-request-id,host.id,node_id,name,service.name,user_agent,error,duration_ms,response_flags,parent_name,peer.address,ec2.tag.environment,is_aj,request_size,grpc.path,http.url,net.host.ip,grpc.authority,type,dc_log10_duration,response_size,status_code,span.kind,isSCIM,downstream_cluster,dc_db_system_or_type,upstream_cluster,component,http.method,dc_protocols,span.num_events,dc_ensure_nonroot_server_span,grpc.message,upstream_cluster.name,cloud.provider,cloud.region,span.num_links,http.protocol,cloud.availability_zone,meta.annotation_type,grpc.status_code,is_seattle_aj,dc_error_as_a_numeric,http.status_code,meta.signal_type,grpc.content_type,dc_bad_status_code_as_a_numeric"
"Can yo show slow spans involving ""machine.id=2874dd1a027738""","trace.span_id,trace.link.span_id,meta.span_count,instance.id,machine_id,http.conn.idletime,machine.id,query.duration,conn.id,corrosion2.id,trace.link.trace_id,corrosion.upsert_machine_status_count,score.worker-cf-lon1-6362,guid:x-request-id,corrosion.upsert_machine_count,score.worker-cf-lon1-9975,score.worker-cf-fra2-db6b,metadata.id,corrosion.id,machine_sync_6pn.id,corrosion.upsert_machine_version_count,machine_failure.id,trace.trace_id,score.worker-cf-mia1-7678,query.since,score.worker-cf-lon1-805e,score.worker-cf-lon1-1dad,machine_stop.id,score.worker-cf-gdl1-c87a,score.worker-cf-lon1-d88f,service.instance.id,score.worker-cf-lon1-5243,score.worker-cf-iad2-7806,duration_ms,http.conn.wasidle,score.worker-pkt-sp4-2824,score.worker-cf-mia1-b984,score.worker-cf-iad2-7579,score.worker-cf-ord1-df19,score.worker-cf-gig1-582b,score.worker-cf-mia1-759c,score.worker-cf-gru1-f280,score.worker-cf-lon1-b6a7,score.worker-cf-gru1-c6ed,flyd.worker-pkt-sp4-2824.ineligible,flyd.worker-cf-lon1-1dad.ineligible,score.worker-cf-ord1-d837,host.id,score.worker-cf-lon1-79f0,score.worker-cf-mia1-b14d,error,trace.parent_id,http.status_code,name,service_name,exception.message,parent_name,http.route,db.statement"
what are my errors?,"error,is_error,webhook.test_errors,request.tracking_error,log.failures,exception.message,log.provider_response_error,log.clearbit_error,log.translated_error_message,exception.type,log.error_string,log.failed_partnerships,log.page,log.success,code,exception.stacktrace,log.total,log.full_stack_trace,http.query,id,name,http.url,backend_success,log.source,log.error_message,log.start,exception_detail,log.mark_process_invoice_error,log.key,log.stack_trace,log.model,request.tracking_error_value,namespace,type,duration_ms,exception.escaped,http.route,celery.eta,log.throttled,service.name,http.method,response.body,client_rate,log.cache,status_code,http.origin,library.name,http.host,ocr.vendor,api_success_val,request.company_id,span.kind,request.company_name,celery.state,log.company_name,trace.parent_id,db.statement,celery.task_name,http.status_code,http.hostname,parent_name"
look up trace by correlation id,"Global:Error-Response-as-Number,parent_name,duration_ms,service.name,http.status_code,http.route,exception.message,error,trace.parent_id,name"
slow requests,"duration_ms,fgp.cache.miss,http.url,http.method,error,http.target,peer.service,http.route,service.version,name,service.name,http.scheme,type,http.flavor,span.kind,library.version,status_code,context.shortcode,library.name,fgp.cache.key,otel.exception_pointers,fgp.cache.fetch_duration,http.status_code,meta.refinery.reason,status_message,http.user_agent,net.host.name,span.num_links,context.short_code,net.peer.name,context.branchcode,service.instance.id,meta.refinery.original_sample_rate,trace.trace_id,trace.span_id,meta.signal_type,span.num_events,telemetry.instrumentation_library,context.portal_site_id,telemetry.sdk.language,context.branch_code,context.machine_env,context.machine_name,trace.parent_id,telemetry.sdk.version,telemetry.sdk.name"
slow requests,"sli_route_latency_1500,duration_ms,queueSize,sli_route_latency,cachesize,requestID,discount,dropped,http.url,http.method,net.transport,error,orderid,http.target,rpc.method,http.route,http.request_content_length,ip,service.version,rpc.service,active_threads,success,currency,Context Keys,pending_pool,pool,name,message.type,area,http.host,host.name,thread.id,grpc.kind,service.name,runtime.jvm.memory.pool,host.arch,rpc.user_agent,rpc.system,runtime.jvm.gc.time,method,http.scheme,type,http.flavor,span.kind,itemCount,db.name,context_keys,thread.name,library.version,gc,trace.parent_id,http.status_code,service_name,exception.message,parent_name,db.statement"
errors,"hits,timeout,misses,logs,tags,keys,projectId,key,timestamp,runtimeError.message,stage,notFound,name,ttl,usage.fetch,runtimeError.stack,response.statusText,response.headers,trace.version,response.status,response.redirected,keyCount,duration_ms,edgeLocation,trace.sampled,cacheTags,response.url,service.name,headersLength,request.redirect,usage.upstash-put,originFetch.isValid,contentLength,handlerName,originFetch.cacheHit,request.url,request.headers,trace.parent_id,trace.span_id,usage.cdn-cache-purge,request.method,cacheKey,usage.fetch-network,usage.cdn-cache-put,key.surrogateKeys,trace.trace_id,usage.upstash-get,usage.kv-put,usage.upstash-delete,key.dataType,http.route"
"Show me a summary of requests in the past week with the user-agent header ""product-quality (DuolingoService)""","http.user_agent,service.build_number,SampleRate,db.user,timeStarted,http.url,telemetry.sdk.language,http.method,rpc.method,timeCreated,service.name,duration_ms,library.version,http.flavor,aws.queue_url,job_id,http.status_code,http.host,rpc.service,db.system,meta.refinery.reason,name,http.route,telemetry.sdk.version,aws.request_id,trace.trace_id,exception.stacktrace,db.name,trace.span_id,path,error,status_code,telemetry.sdk.name,span.num_events,status_message,span.kind,http.target,meta.refinery.original_sample_rate,telemetry.auto.version,dc.log10_duration_ms,meta.refinery.sample_key,state,rpc.system,span.num_links,dc.det_service,service.cluster,net.host.port,library.name,dc_simple_refinery_reason,service.task_arn,parent_name,db.statement,exception.message,trace.parent_id"
app.scheduling.save-scheduling-events,"span.num_events,app.pgsql.query,db.system,service.name,http.target,http.url,http.scheme,exception.stacktrace,sentry-sampled,rpc.service,global.is_production,user.id,error,sentry-release,user.email,db.user,db.name,duration_ms,sentry-trace_id,rpc.method,http.method,user.username,oplit.fb_job_id,sentry-sample_rate,sentry-environment,user.client_id,net.transport,http.host,process.runtime.description,rpc.system,status_message,oplit.simulation_id,process.command,auth_method,process.command_args,process.owner,span.kind,global.version_id,name,process.pid,oplit.nb_ops,telemetry.sdk.language,telemetry.instrumentation_library,process.executable.path,db.statement,db.connection_string,oplit.only_heavy_tables?,process.runtime.version,parent_name,type,exception.message,http.route,http.status_code,trace.parent_id"
show trace id on X Axis,"trace.trace_id,trace.span_id,trace.parent_id,EDITransID,ID,StartTime,span.kind,EndTime,telemetry.sdk.name,span.num_events,name,parent_name,telemetry.sdk.version,duration_ms,TimeSinceLast,telemetry.sdk.language,service.name,type,span.num_links,meta.signal_type,library.name,status_code,meta.annotation_type,_MS.ProcessedByMetricExtractors,http.route,service_name"
what are my errors?,"duration_ms,name,trace.parent_id,status_code,http.route,service.name,error"
what are my errors?,"error,is_error,webhook.test_errors,request.tracking_error,log.failures,exception.message,log.provider_response_error,log.clearbit_error,log.translated_error_message,exception.type,log.error_string,log.failed_partnerships,log.page,log.success,code,exception.stacktrace,log.total,log.full_stack_trace,http.query,id,name,http.url,backend_success,log.source,log.error_message,log.start,exception_detail,log.mark_process_invoice_error,log.key,log.stack_trace,log.model,request.tracking_error_value,namespace,type,duration_ms,exception.escaped,http.route,celery.eta,log.throttled,service.name,http.method,response.body,client_rate,log.cache,status_code,http.origin,library.name,http.host,ocr.vendor,api_success_val,trace.parent_id,request.company_id,celery.state,log.company_name,http.status_code,request.company_name,parent_name,span.kind,http.hostname,db.statement,celery.task_name"
what are my errors?,"error,is_error,webhook.test_errors,request.tracking_error,log.failures,exception.message,log.provider_response_error,log.clearbit_error,log.translated_error_message,exception.type,log.error_string,log.failed_partnerships,log.page,log.success,code,exception.stacktrace,log.total,log.full_stack_trace,http.query,id,name,http.url,backend_success,log.source,log.error_message,log.start,exception_detail,log.mark_process_invoice_error,log.key,log.stack_trace,log.model,request.tracking_error_value,namespace,type,duration_ms,exception.escaped,http.route,celery.eta,log.throttled,service.name,http.method,response.body,client_rate,log.cache,status_code,http.origin,library.name,http.host,ocr.vendor,api_success_val,http.status_code,http.hostname,celery.state,trace.parent_id,log.company_name,span.kind,request.company_name,request.company_id,parent_name,db.statement,celery.task_name"
Show me a summary of requests in the past week with the header product-quality (DuolingoService),"timeStarted,SampleRate,timeCreated,service.build_number,telemetry.sdk.language,rpc.method,service.name,duration_ms,http.method,db.user,http.user_agent,job_id,rpc.service,http.url,http.route,telemetry.sdk.version,status_message,telemetry.sdk.name,db.system,name,db.name,service.cluster,span.kind,aws.queue_url,library.version,http.status_code,status_code,aws.request_id,trace.trace_id,dc.det_service,http.flavor,error,exception.stacktrace,meta.refinery.reason,span.num_events,trace.span_id,dc.log10_duration_ms,path,service.task_arn,hasErrors,telemetry.auto.version,meta.refinery.sample_key,http.host,http.target,meta.refinery.original_sample_rate,dc_simple_refinery_reason,db.statement,state,rpc.system,library.name,http.server_name,trace.parent_id,exception.message,parent_name"
attack group details,"app.timing.get_attack_group.duration_ms,app.timing.get_attack_group_check_log_ids.duration_ms,app.timing.get_attack_group_unique_email_ids.duration_ms,app.timing.get_arbitrary_classification_data_from_check_log_in_attack_group.duration_ms,app.timing.get_api_input_from_check_log_in_attack_group.duration_ms,http.target,name,trace.trace_id,error,feature_flag.Feature_Details_Ext_Limit,DurationGT5,trace.parent_id,DurationGT10,type,trace.span_id,app.timing.get_events_in_burst_attacks.duration_ms,cloud.account.id,library.name,span.kind,service.name,feature_flag.Rollout_IncrementalUpdates_TimelineEvents_QuarantineSource,exception.type,parent_name,http.url,http.user_agent,duration_ms,http.scheme,http.method,http.flavor,http.host,feature_flag.Feature_EventTimeline_ApiEmailKeyTimestamp,deployment.environment,meta.signal_type,app.tenant.id,meta.refinery.reason,library.version,http.route,meta.span_count,cloud.region,app.timing.run_stats.duration_ms,app.synced_user.id,meta.annotation_type,app.timing.hist_events.duration_ms,app.timing.get_db_quarantined_email_timeline_events.duration_ms,app.timing.get_event_timeline.duration_ms,app.timing.fetch_pg_stats.duration_ms,app.timing.get_quarantine_emails_map.duration_ms,app.timing.count_events.duration_ms,status_code,app.timing.get_email_arrived_timeline_events.duration_ms,http.status_code"
traces with less than 5 spans,"trace.span_id,trace.trace_id,exception.stacktrace,trace.parent_id,span.kind,span.num_links,exception.escaped,span.num_events,net.transport,error,cluster,http.target,thread.id,code.namespace,thread.name,name,telemetry.instrumentation_library,db.system,http.route,library.version,db.name,host.arch,library.name,type,http.url,telemetry.sdk.language,net.protocol.version,duration_ms,exception.type,http.scheme,db.operation,http.host,service.name,parent_name,db.statement,host.name,http.flavor,net.protocol.name,messaging.system,telemetry.auto.version,os.type,http.method,exception.message,code.function,telemetry.sdk.name,http.user_agent,process.runtime.description,process.pid,os.description,status_code,service_name,http.status_code"
slow requests,"test.sli.statsig_event_latency,temp.gorm.query.under_1_ms,temporary.http_request.is_enphase,temporary.is_enphase,0621_panic,test.authorize.success,test.coalesce.post_checkout_slis,test.Decision.continue,trace.parent_id,http.route,service_name,duration_ms,name"
Show me traces from Fulfillment,"trace.trace_id,exception.stacktrace,trace.span_id,log.msg,log.message,telemetry.instrumentation_library,log.args,trace.parent_id,log.level,telemetry.sdk.language,error,meta.refinery.reason,http.flavor,span.kind,telemetry.sdk.name,service.name,http.target,db.user,name,telemetry.sdk.version,http.url,exception.message,http.route,exception.type,library.name,http.host,meta.refinery.sample_key,db.name,duration_ms,status_message,span.num_events,db.system,http.method,host.hostname,db.statement,library.version,type,exception.escaped,meta.refinery.original_sample_rate,span.num_links,parent_name,http.user_agent,user.cognito_user_id,status_code,net.host.port,http.scheme,db.redis.pipeline_length,http.status_code,meta.signal_type,http.server_name"
"Show distinct internval vs external traffic under the AJG service name filtering urls that contains log, healthcheck, favicon.ico and query parameters in urls","JEM_External_Service_Latency_SLI,sre.retail_site_misc.services.urls,sre.url.exclude,downstream.service.url,JEM_Borderline_External_Service_Latency_SLI,sre.cx.misc.services.urls,JEM_External_Endpoints_Availability_SLI,JEM_Internal_Service_Latency_SLI,aggregated_outside_holding_service_log_1,CTP external endpoints latency+availability SLO,service.url,CTP internal endpoints latency+availability SLO,AANv2-Endpoint-Name,OA-PROD-BNF-Internal-Latency-GET,OA-PROD-BNF-External-Latency-GET,WOW-external-service-call-latency,YDJ-duration and status for all HTTP,AJG endpoints,external_rest_service_uri,SRE XUP Jwks External latency,request.path.url,OA-PROD-RCX-Internal-Latency-GET,team_incognito_endpoints,OA-PROD-TP1-External-Latency-GET,eaj-rollup-url,external_service_uri,JEM_External_Availability_Healthcheck_SLI,http.url,OA-PROD-TP1-Internal-Latency-GET,FJ4-healthcheck-availability,eupJwtFilter.isExternal,vg.host_from_referrer,sre.core_ui.services.urls,request.query.intervalType,service.is_external,JEM_Borderline_Internal_Service_Latency_SLI,sre.public.site.service.urls,AOA Endpoints Availability,sre.cx.personal.performance.service.urls,WOW-internal-and-external-ui-call-latency,sre.pw_perf.service.urls,LGO-all-services-availability,JEM_Internal_Endpoints_Availability_SLI,INTRADAY_REQUEST_PERFORMANCE,sre.logon.service.urls,OA-PROD-RCX-External-Latency-GET,kong.healthcheck.url,OA-PROD-REX-Internal-Latency-GET,SRE XUP JWT External Latency,histogram.apollo_router_processing_time,service.name,trace.trace_id,service.userlocation,http.route,http.target,InternalorExternal,exception.type,service.appprefix,jinja2.template_path,namespace,reason,correlationCallChain,trace.parent_id,http.status_code,name,db.statement,message,kind,duration_ms,exception.message,status,parent_name"
errors within automations,"error,sli.automations_processing_latency,graphql.validation.error,error_exists,alert_data,exception.message,run_validations,attempts,graphql.sources.active_record_preload.automation__automation_rule.count,violated_directive,data_queries,auth.failed_mfa_attempt,remote,caller,auth.success,try,graphql.sources.active_record_preload.automation__automation_rule.duration_ms,filepath,exception.type,types,auth.failed_login_attempt,filenames,keys,meta.refinery.reason,active_lock,reviews,exception.stacktrace,task.id,template,messaging.system,options,username,raw_report,organizations,action_token,topic,message,telemetry.instrumentation_library,alert_token,duplicate_transaction_external_ids,identifier,path,referrer,remaining_requirements,object_tokens,event_tokens,gte_1000ms,auth.logout,tokens,active_model_serializers.surveys__model__survey_response_record_serializer__error_entry_serializer.count,duration_ms,name,trace.parent_id,http.status_code,http.route,service_name,parent_name,db.statement"
enterprise-scim-prod,"service.name,service_name,url,request.secure,error_derived,name,meta.type,meta.local_hostname,meta.instrumentations,meta.package_version,meta.beeline_version,meta.node_version,trace.span_id,meta.instrumentation_count,request.xhr,request.fresh,request.header.x_forwarded_proto,request.scheme,duration_ms,request.host,request.path,request.param.id,request.method,request.query,request.header.user_agent,request.header.x_forwarded_port,trace.trace_id,response.status_code,trace.trace_id_source,trace.parent_id,request.route,meta.span_type,request.header.x_forwarded_for,request.original_url,request.base_url,request.header.accept,request.http_version,response.http_version,response.content_type,request.remote_addr,http.route"
"Show distinct internal vs external traffic under the AJG service name filtering urls that contains log, healthcheck, favicon.ico and query parameters in urls","service.is_external,eupJwtFilter.isExternal,external_service_uri,sre.retail_site_misc.services.urls,sre.cx.misc.services.urls,downstream.service.url,JEM_External_Service_Latency_SLI,sre.url.exclude,sre.core_ui.services.urls,JEM_External_Endpoints_Availability_SLI,sre.public.site.service.urls,external_rest_service_uri,aggregated_outside_holding_service_log_1,sre.logon.service.urls,JEM_Borderline_External_Service_Latency_SLI,request.path.url,trw_internal_or_external_url,hde_internal_external,JEM_External_Availability_Healthcheck_SLI,service.url,AANv2-Endpoint-Name,WOW_Internal_or_External,sre.pw_perf.service.urls,SRE XUP Jwks External latency,CTP external endpoints latency+availability SLO,JDG_External_Client_Endpoint_SLI,LGO-all-services-availability,rgh.queryParam.internalOnly,http.url,OA-PROD-RCX-Internal-Latency-GET,sre.cx.personal.performance.service.urls,eaj-rollup-url,CTP internal endpoints latency+availability SLO,vg.host_from_referrer,JDG_External_Secure-messages_Endpoint_SLI,JEM_Internal_Service_Latency_SLI,OA-PROD-TP1-External-Latency-GET,OA-PROD-BNF-External-Latency-GET,EWC External Response Tracking,Internal_OR_External,sre.atu.service.urls,sre.cx.balances.services.urls,is_logon_url,FJ4-healthcheck-availability,OA-PROD-BNF-Internal-Latency-GET,InternalorExternal,WOW-internal-and-external-ui-call-latency,team_incognito_endpoints,http.request.header.origin,JEM_Internal_Endpoints_Availability_SLI,service.name,trace.trace_id,service.userlocation,status,exception.type,http.status_code,correlationCallChain,message,reason,exception.message,name,db.statement,service.appprefix,jinja2.template_path,namespace,parent_name,duration_ms,trace.parent_id,kind,http.route,http.target"
errors over the last 10 minutes,"error,error_id,duration_ms,vesta.server_error_message,exception.message,exception.stack,name,http.response.body.error,rates.rates_updated,exception.stacktrace,exception.type,session.type,http.error_message,component,db.user,status_message,db.system,net.transport,vesta.webhook.change,type,span.kind,tls.authorized,plaid.webhook_code,graphql.complexity,rpc.system,user_id,status_code,customer.name,address.state,http.target,db.name,vesta.expired_idempotency_keys_cleaned_up_count,peer[3].ipv6,peer[2].ipv6,peer.ipv6,vesta.num_tasks,customer_id,loan.vesta_loan_stage,soft_assertion_msg,express.type,preapproval.preapproved,span.num_events,net.host.ip,vesta.task_id,http.flavor,chore.num_cancelled_jobs_deleted,request.malformed_body,http.host,http.error_name,tls.protocol,http.status_code,service.name,parent_name,trace.parent_id,http.route"
latency distribution by status code,"Status Code,status_code,acceptable_latency,start_task_latency,status_message,rpc.grpc.status_code,acceptable_latency_signing,http.status_code,duration_ms,http.status_text,SLI-INGRESS-AVAILIBILITY,opencensus.starttime,http.response_content_length,express.type,http.response_content_length_uncompressed,service.version,rpc.method,http.resend_count,net.transport,5xx Errors - TEST DELETE,code.namespace,message.type,process.pid,net.protocol.version,rpc.service,gropyus.com/linkerd-tracing,http.request.resend_count,rpc.system,server_error,trace.link.trace_id,telemetry.sdk.language,messaging.system,meta.signal_type,task_action_duration,peer.ipv4,rpc.user_agent,serviceRequestId,exception.stacktrace,error,messaging.batch.message_count,library.version,http.request_content_length,gropyus.mes.outbox_previous_attempts,http.request_content_length_uncompressed,messaging.operation,net.peer.port,http.method,Error,service.namespace,acceptable_result,parent_name,trace.parent_id,name,db.statement,service_name,exception.message,http.route"
